UITextID,Text,Info
Utxt_KR_01,On Duty: All Clear,게임 타이틀
Utxt_KR_02,Start Shift,게임 시작 버튼
Utxt_KR_03,Settings,환경 설정 버튼(인트로씬) | 환경 설정 버튼(일시정지 패널)
Utxt_KR_04,Credits,크레디트 버튼
Utxt_KR_05,End Shift,게임 종료 버튼
Utxt_KR_06,New Shift,새로하기 버튼
Utxt_KR_07,Continue Shift,이어하기 버튼
Utxt_KR_08,To Title,타이틀 이동 버튼(인트로씬) | 타이틀 이동 버튼(미션 성공 UI) | 타이틀 이동 버튼(미션 실패 UI) | 타이틀 이동 버튼(게임 오버 UI)
Utxt_KR_09,Are you sure you want to quit?,게임 종료 문구
Utxt_KR_10,Yes,게임 종료 패널 예 버튼 | 보고 전 확인 UI 예 버튼
Utxt_KR_11,No,게임 종료 패널 타이틀 이동 버튼 | 보고 전 확인 UI 아니오 버튼
Utxt_KR_12,Master,마스터 볼륨 텍스트
Utxt_KR_13,BGM,BGM 볼륨 텍스트
Utxt_KR_14,SFX,SFX 볼륨 텍스트
Utxt_KR_15,UI,UI 볼륨 텍스트
Utxt_KR_16,Korean,언어 설정 한국어
Utxt_KR_17,English,언어 설정 영어
Utxt_KR_18,Press [E] for Next,다이얼로그 버튼 안내 E
Utxt_KR_19,Press [Q] to Close,다이얼로그 버튼 안내 Q
Utxt_KR_20,Days Since Last Accident,무사고 날짜
Utxt_KR_21,Today's Mission,오늘의 미션
Utxt_KR_22,Today's Mission,오늘의 미션 최상단 텍스트
Utxt_KR_23,Confirm,오늘의 미션 확인 버튼
Utxt_KR_24,THE OFFICIAL LOG,성공 UI 최상단 텍스트
Utxt_KR_25,Officer Name: Etan Walker,근무자 명
Utxt_KR_26,Days Since Last Accident,무사고 날짜
Utxt_KR_27,Mission Result: Success,미션 결과
Utxt_KR_28,See you tomorrow.,계약 연장 도장 상단
Utxt_KR_29,Warden's Bag,계약 연장 도장 하단
Utxt_KR_30,Next Day,다음 날 이동 버튼
Utxt_KR_31,NOTICE OF TERMINATION,실패 UI 최상단 텍스트
Utxt_KR_32,Staff Name: Etan Walker,근무자 명
Utxt_KR_33,Days Without Incident,근무일 수
Utxt_KR_34,Reason for Termination,해고 사유 텍스트
Utxt_KR_35,You are hereby terminated for the reasons above.,귀하를 해고합니다.
Utxt_KR_36,Notice of Termination,해고 통지 도장 상단
Utxt_KR_37,Warden's Bag,해고 통지 도장 하단
Utxt_KR_38,Restart Shift,근무 재시작 버튼(미션 실패 UI) | 근무 재시작 버튼(게임 오버 UI)
Utxt_KR_39,Pause Work,일시 정지 창 문구
Utxt_KR_40,Resume Work,계속하기 버튼
Utxt_KR_41,Stop Work,타이틀 이동 버튼
Utxt_KR_42,Hold right-click and move to rotate the object.,상세보기 상단 안내 문구(클릭 x)
Utxt_KR_43,Release right-click to stop rotating.,상세보기 상단 안내 문구(클릭 o)
Utxt_KR_44,Left-click to interact with objects.,물체 아래 상호작용 안내 문구
Utxt_KR_45,Press [E] to exit inspection,상세보기 종료 문구
Utxt_KR_46,Game Over,게임 오버 문구
Utxt_KR_47,Would you like to report<br>the patrol results?,보고 전 확인 UI
Utxt_KR_48,You must report after the patrol.,브리핑 페이즈 보고 시도 시 메시지
Utxt_KR_49,Skip Tutorial: [Q],튜토리얼 스킵 Q
Utxt_KR_50,Start Tutorial: [E],튜토리얼 진행 E
Utxt_KR_51,You must receive a mission<br>from the Warden first!,경고 메시지: 교도소장과 대화 전 계단 문과 상호작용할 경우
Utxt_KR_52,Start Patrol,경고 메시지: 순찰 시작
Utxt_KR_53,You can move after closing all cell doors!,경고 메시지: 감방 문이 열린 상태로 계단 문과 상호작용할 경우
Utxt_KR_54,Close the open cell doors first!,경고 메시지: 감방 문이 열린 상태로 다른 감방 문을 열려고 할 경우
Utxt_KR_55,You can't close cell doors during combat!,경고 메시지: 전투 중 감방 문을 닫으려고 할 경우
Utxt_KR_56,This room is locked.,경고 메시지: 문이 잠겨 있을 경우
Utxt_KR_57,Can't close the door from the inside.,경고 메시지: 내부에서 문을 닫으려고 했을 경우
Utxt_KR_58,No save data found.,경고 메시지: 저장된 데이터가 없을 경우
