DialogueTextID,Langauage,Mission,TextType,Speaker,Text,Info
DTxt_KR_T_01,EN,Tutorial,Dialogue,Frank,Let me see. You're the rookie. Right?,튜토리얼 텍스트 ver.260106
DTxt_KR_T_02,EN,Tutorial,Dialogue,Frank,You have the right look.<br>But that's not what's important.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_03,EN,Tutorial,Dialogue,Frank,All that matters is luck and intuition,튜토리얼 텍스트 ver.260106
DTxt_KR_T_04,EN,Tutorial,Dialogue,Frank,"First off, luck is the key.<br>You need to keep the accidents from happening.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_05,EN,Tutorial,Dialogue,Frank,Look. See that board.<br>How many 'Days Without Incident' does it say?,튜토리얼 텍스트 ver.260106
DTxt_KR_T_06,EN,Tutorial,BoardSee,Frank,Right. 0. Another brat like you was carried out just yesterday.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_07,EN,Tutorial,BoardSee,Frank,This damn Sector 7 is never quiet.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_08,EN,Tutorial,BoardSee,Frank,Accidents happen every day.<br>Two days of peace? It's a long time.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_09,EN,Tutorial,BoardSee,Frank,So our goal is 7 days. Just one week.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_10,EN,Tutorial,BoardSee,Frank,"If you survive 7 days without an incident, you're a regular.<br>However…",튜토리얼 텍스트 ver.260106
DTxt_KR_T_11,EN,Tutorial,BoardSee,Frank,"If even a single accident happens, you're packing your bags that very day.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_12,EN,Tutorial,BoardSee,Frank,And we start all over again from Day 0. Got it?,튜토리얼 텍스트 ver.260106
DTxt_KR_T_13,EN,Tutorial,BoardSee,Frank,Good.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_14,EN,Tutorial,BoardSee,Frank,"First, let's grab what you need for the job.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_15,EN,Tutorial,BoardSee,Frank,I need to give you a nightstick…<br>But there is a box piled up in front of the cabinet.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_16,EN,Tutorial,BoardSee,Frank,"Press [E] in front of a box to pick it up, and [E] again to put it down.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_17,EN,Tutorial,BoxOpened,Frank,It's the same for picking up or putting down other items.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_18,EN,Tutorial,BoxOpened,Frank,Box is clear. Now open the cabinet and grab the nightstick.<br>Use [E] for both.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_19,EN,Tutorial,BatonEquipped,Frank,A nightstick is a must for a guard.<br>These prisoners don't understand words.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_20,EN,Tutorial,BatonEquipped,Frank,"Left-click to attack. Go on, take a swing at me.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_21,EN,Tutorial,NPCHit,Frank,...Better than expected.<br>Four or five strikes should be enough to subdue the tough ones.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_22,EN,Tutorial,NPCHit,Frank,But being a guard isn't just about how well you can fight.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_23,EN,Tutorial,NPCHit,Frank,What did I say was important along with luck?,튜토리얼 텍스트 ver.260106
DTxt_KR_T_24,EN,Tutorial,NPCHit,Frank,"Right, intuition.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_25,EN,Tutorial,NPCHit,Frank,"Here, I'll give you a Bible. Take a look.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_26,EN,Tutorial,NPCHit,Frank,"Right-click to rotate, left-click to open books.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_27,EN,Tutorial,BookRead,Frank,"An awl is inside, right?",튜토리얼 텍스트 ver.260106
