TextID,Langauage,Mission,TextType,Speaker,Text,Info
Txt_KR_T_01,KR,Tutorial,Dialogue,Frank,왔나? 네가 오늘부터 구를 신입이군.,튜토리얼 텍스트 ver.260106
Txt_KR_T_02,KR,Tutorial,Dialogue,Frank,인상은··· 쓸만하군. 하지만 중요한 건 그게 아니야.,튜토리얼 텍스트 ver.260106
Txt_KR_T_03,KR,Tutorial,Dialogue,Frank,교도관으로 근무할 때 가장 중요한 건 ‘운’이랑 ‘눈치’다.,튜토리얼 텍스트 ver.260106
Txt_KR_T_04,KR,Tutorial,Dialogue,Frank,"일단, 운이 정말 중요해. 사고가 안 나야 하거든.",튜토리얼 텍스트 ver.260106
Txt_KR_T_05,KR,Tutorial,Dialogue,Frank,"잘 봐, 여기 화이트보드 보이지? 무사고 며칠 차라고 적혀 있나?",튜토리얼 텍스트 ver.260106
Txt_KR_T_06,KR,Tutorial,Dialogue,Frank,그래. 0일이다. 어제도 너 같은 애송이가 한 놈 실려 나갔거든.,튜토리얼 텍스트 ver.260106
Txt_KR_T_07,KR,Tutorial,Dialogue,Frank,이 빌어먹을 7구역은 사건 사고가 끊이지 않아.,튜토리얼 텍스트 ver.260106
Txt_KR_T_08,KR,Tutorial,Dialogue,Frank,"매일 사고가 터지고, 이틀만 평화로워도 오래 간 거지.",튜토리얼 텍스트 ver.260106
Txt_KR_T_09,KR,Tutorial,Dialogue,Frank,그래서 우리 목표는 7일이다. 딱 일주일이라고.,튜토리얼 텍스트 ver.260106
Txt_KR_T_10,KR,Tutorial,Dialogue,Frank,오늘부터 사고 없이 7일을 버티면 넌 정규직이다. 하지만,튜토리얼 텍스트 ver.260106
Txt_KR_T_11,KR,Tutorial,Dialogue,Frank,단 한 번이라도 사고가 터지면 넌 그날로 짐 싸서 나가는 거야.,튜토리얼 텍스트 ver.260106
Txt_KR_T_12,KR,Tutorial,Dialogue,Frank,그리고 우리는 다시 0일차부터 시작하는 거고. 내 말 이해했나?,튜토리얼 텍스트 ver.260106
Txt_KR_T_13,KR,Tutorial,Dialogue,Frank,좋다.,튜토리얼 텍스트 ver.260106
Txt_KR_T_14,KR,Tutorial,Dialogue,Frank,일단 근무를 위해 필요한 것부터 챙기자고.,튜토리얼 텍스트 ver.260106
Txt_KR_T_15,KR,Tutorial,Dialogue,Frank,일단 진압 봉을 줘야 하는데··· 캐비닛 앞에 상자가 쌓여 있군.,튜토리얼 텍스트 ver.260106
Txt_KR_T_16,KR,Tutorial,Dialogue,Frank,"상자 앞에서 E 키를 누르면 상자를 들 수 있고, 다시 E 키를 누르면 내려놓을 수 있다.",튜토리얼 텍스트 ver.260106
Txt_KR_T_17,KR,Tutorial,Dialogue,Frank,다른 물건을 들거나 내려놓을 때도 마찬가지로 하면 된다.,튜토리얼 텍스트 ver.260106
Txt_KR_T_18,KR,Tutorial,Dialogue,Frank,"자, 상자를 치웠으니 E 키를 눌러 캐비닛을 열고, 그 안에 있는 진압 봉을 클릭해서 챙겨라.",튜토리얼 텍스트 ver.260106
Txt_KR_T_19,KR,Tutorial,Dialogue,Frank,교도관이라면 진압 봉은 필수지. 죄수 놈들은 말로 해서는 못 알아듣거든.,튜토리얼 텍스트 ver.260106
Txt_KR_T_20,KR,Tutorial,Dialogue,Frank,"마우스 왼쪽 키를 누르면 공격할 수 있다. 자, 나한테 한 번 휘둘러봐.",튜토리얼 텍스트 ver.260106
Txt_KR_T_21,KR,Tutorial,Dialogue,Frank,"생각보단 제법이군. 튼튼한 놈들도 네, 다섯 대면 제압할 수 있겠어.",튜토리얼 텍스트 ver.260106
Txt_KR_T_22,KR,Tutorial,Dialogue,Frank,그런데 교도소 근무는 몸만 잘 쓰면 된다고 해결되는 게 아니야.,튜토리얼 텍스트 ver.260106
Txt_KR_T_23,KR,Tutorial,Dialogue,Frank,아까 내가 운이랑 뭐가 중요하다고 했지?,튜토리얼 텍스트 ver.260106
Txt_KR_T_24,KR,Tutorial,Dialogue,Frank,"그래, 눈치다.",튜토리얼 텍스트 ver.260106
Txt_KR_T_25,KR,Tutorial,Dialogue,Frank,"자, 책을 하나 줄 테니까 잘 살펴봐",튜토리얼 텍스트 ver.260106
Txt_KR_T_26,KR,Tutorial,Dialogue,Frank,"마우스 오른쪽 버튼을 이용하면 돌려볼 수 있고, 왼쪽 버튼을 클릭하면 책을 열어볼 수 있다.",튜토리얼 텍스트 ver.260106
Txt_KR_T_27,KR,Tutorial,Dialogue,Frank,칼이 들어 있지?,튜토리얼 텍스트 ver.260106
Txt_KR_T_28,KR,Tutorial,Dialogue,Frank,이런 식으로 죄수 놈들은 멀쩡한 물건에 위험한 것들을 숨겨 놓는다.,튜토리얼 텍스트 ver.260106
Txt_KR_T_29,KR,Tutorial,Dialogue,Frank,그냥 겉보기에 이상 없다고 괜찮구나- 했다가는 바로 (목 긋는 시늉) 잘리는 거지.,튜토리얼 텍스트 ver.260106
Txt_KR_T_30,KR,Tutorial,Dialogue,Frank,"그래서 눈치를 잘 채야 해. 뭐가 이상한지, 뭐가 멀쩡한 건지 잘 파악하는 게 중요하거든.",튜토리얼 텍스트 ver.260106
Txt_KR_T_31,KR,Tutorial,Dialogue,Frank,자신이 없다면 그냥 감방 안을 샅샅이 뒤지라고.,튜토리얼 텍스트 ver.260106
Txt_KR_T_32,KR,Tutorial,Dialogue,Frank,"감방 구석구석, 벽돌 하나하나까지 다.",튜토리얼 텍스트 ver.260106
Txt_KR_T_33,KR,Tutorial,Dialogue,Frank,그래. 내가 얘기해줄 수 있는 건 대충 이 정도다.,튜토리얼 텍스트 ver.260106
Txt_KR_T_34,KR,Tutorial,Dialogue,Frank,"당장 일손이 부족하니, 더 가르쳐줄 시간 따위는 없단 말이지.",튜토리얼 텍스트 ver.260106
Txt_KR_T_35,KR,Tutorial,Dialogue,Frank,나머지는 구르면서 배워라.,튜토리얼 텍스트 ver.260106
Txt_KR_T_36,KR,Tutorial,Dialogue,Frank,"소장님께 말을 걸어서 네가 오늘 해야 하는 미션을 체크하고, 직접 일해보라고.",튜토리얼 텍스트 ver.260106
Txt_KR_T_37,KR,Tutorial,Dialogue,Frank,좀 오래 버텨서 네 쓸모를 증명해봐.,튜토리얼 텍스트 ver.260106
Txt_KR_M01_01,KR,Mission01,Dialogue,Victor,자네도 들리나?,(브리핑)교도소장 대사 텍스트 1
Txt_KR_M01_02,KR,Mission01,Dialogue,Victor,멍청한 죄수들이 여기가 교도소인 것도 잊고 또 시끄럽게 구는군,(브리핑)교도소장 대사 텍스트 2
Txt_KR_M01_03,KR,Mission01,Dialogue,Victor,이대로 놔두면 시끄러운 틈을 타서 수상한 짓을 하는 놈이 생길 게 분명해,(브리핑)교도소장 대사 텍스트 3
Txt_KR_M01_04,KR,Mission01,Dialogue,Victor,가서 시끄럽게 하는 놈들을 다 두들겨 패고 오게,(브리핑)교도소장 대사 텍스트 4
Txt_KR_M01_05,KR,Mission01,UI,UI,교도소에서 시끄럽게 구는 죄수들을 전부 진압하자,오늘의 미션 UI 텍스트
Txt_KR_M01_06,KR,Mission01,UI,UI,시끄러운 죄수,미션 진행도 UI 텍스트
Txt_KR_M01_07,KR,Mission01,Dialogue,Victor,다 조용히 시켰나?,(정산)교도소장 대사 공통 텍스트
Txt_KR_M01_08,KR,Mission01,Dialogue,Victor,하여튼 패야만 말을 듣는단 말이지,(정산)교도소장 대사 성공 텍스트
Txt_KR_M01_09,KR,Mission01,Dialogue,Victor,죄수들을 조용히 시키는 것조차 못 해서야 어쩌자는 건가? 자네는 해고일세!,(정산)교도소장 대사 실패 텍스트
