UITextID,Text,Info
Utxt_KR_01,근무 중 이상 무,게임 타이틀
Utxt_KR_02,출근하기,게임 시작 버튼
Utxt_KR_03,환경 설정,환경 설정 버튼(인트로씬) | 환경 설정 버튼(일시정지 패널)
Utxt_KR_04,크레디트,크레디트 버튼
Utxt_KR_05,퇴근하기,게임 종료 버튼
Utxt_KR_06,신규 근무 시작,새로하기 버튼
Utxt_KR_07,기존 근무 계속,이어하기 버튼
Utxt_KR_08,타이틀로 이동,타이틀 이동 버튼(인트로씬) | 타이틀 이동 버튼(미션 성공 UI) | 타이틀 이동 버튼(미션 실패 UI) | 타이틀 이동 버튼(게임 오버 UI)
Utxt_KR_09,게임을 종료하시겠습니까?,게임 종료 문구
Utxt_KR_10,예,게임 종료 패널 예 버튼 | 보고 전 확인 UI 예 버튼
Utxt_KR_11,아니오,게임 종료 패널 타이틀 이동 버튼 | 보고 전 확인 UI 아니오 버튼
Utxt_KR_12,Master,마스터 볼륨 텍스트
Utxt_KR_13,BGM,BGM 볼륨 텍스트
Utxt_KR_14,SFX,SFX 볼륨 텍스트
Utxt_KR_15,UI,UI 볼륨 텍스트
Utxt_KR_16,한국어,언어 설정 한국어
Utxt_KR_17,English,언어 설정 영어
Utxt_KR_18,E 키를 눌러 다음 텍스트 확인,다이얼로그 버튼 안내 E
Utxt_KR_19,Q 키를 눌러 텍스트 종료,다이얼로그 버튼 안내 Q
Utxt_KR_20,Days Since Last Accident,무사고 날짜
Utxt_KR_21,Today's Mission,오늘의 미션
Utxt_KR_22,오늘의 미션,오늘의 미션 최상단 텍스트
Utxt_KR_23,확인,오늘의 미션 확인 버튼
Utxt_KR_24,THE OFFICIAL LOG,성공 UI 최상단 텍스트
Utxt_KR_25,근무자 명: Etan Walker,근무자 명
Utxt_KR_26,무사고 날짜: ,무사고 날짜
Utxt_KR_27,미션 결과: 성공,미션 결과
Utxt_KR_28,내일 다시 뵙겠습니다.,계약 연장 도장 상단
Utxt_KR_29,교도소장 백,계약 연장 도장 하단
Utxt_KR_30,다음 날로 이동,다음 날 이동 버튼
Utxt_KR_31,NOTICE OF TERMINATION,실패 UI 최상단 텍스트
Utxt_KR_32,근무자 명: Etan Walker,근무자 명
Utxt_KR_33,근무일 수: ,근무일 수
Utxt_KR_34,해고 사유,해고 사유 텍스트
Utxt_KR_35,상기 사유로 귀하를 해고합니다.,귀하를 해고합니다.
Utxt_KR_36,해고를 통지합니다,해고 통지 도장 상단
Utxt_KR_37,교도소장 백,해고 통지 도장 하단
Utxt_KR_38,근무 재시작,근무 재시작 버튼(미션 실패 UI) | 근무 재시작 버튼(게임 오버 UI)
Utxt_KR_39,업무 일시 중단,일시 정지 창 문구
Utxt_KR_40,업무 재개,계속하기 버튼
Utxt_KR_41,업무 중단,타이틀 이동 버튼
Utxt_KR_42,마우스 오른쪽 버튼을 누른 채로 이동하면 물체를 회전시킬 수 있습니다,상세보기 상단 안내 문구(클릭 x)
Utxt_KR_43,마우스 오른쪽 버튼을 뗄 경우 회전을 멈춥니다.,상세보기 상단 안내 문구(클릭 o)
Utxt_KR_44,마우스 왼쪽 버튼을 눌러 물체와 상호작용할 수 있습니다.,물체 아래 상호작용 안내 문구
Utxt_KR_45,E 키를 눌러 상세보기 종료,상세보기 종료 문구
Utxt_KR_46,게임 오버,게임 오버 문구
Utxt_KR_47,순찰 결과를 보고하시겠습니까?,보고 전 확인 UI
Utxt_KR_48,순찰 후에 보고해야 한다.,브리핑 페이즈 보고 시도 시 메시지
Utxt_KR_49,튜토리얼 스킵: Q,튜토리얼 스킵 Q
Utxt_KR_50,튜토리얼 진행: E,튜토리얼 진행 E
Utxt_KR_51,먼저 교도소장에게 미션을 받아야 합니다!,경고 메시지: 교도소장과 대화 전 계단 문과 상호작용할 경우
Utxt_KR_52,순찰 시작,경고 메시지: 순찰 시작
Utxt_KR_53,모든 감방 문을 닫은 후 이동할 수 있습니다!,경고 메시지: 감방 문이 열린 상태로 계단 문과 상호작용할 경우
Utxt_KR_54,이미 열려 있는 감방 문을 먼저 닫아야 합니다!,경고 메시지: 감방 문이 열린 상태로 다른 감방 문을 열려고 할 경우
Utxt_KR_55,전투 중에는 감방 문을 닫을 수 없습니다!,경고 메시지: 전투 중 감방 문을 닫으려고 할 경우
Utxt_KR_56,잠겨있는 방입니다.,경고 메시지: 문이 잠겨 있을 경우
Utxt_KR_57,내부에선 문을 닫을 수 없습니다.,경고 메시지: 내부에서 문을 닫으려고 했을 경우
Utxt_KR_58,저장된 데이터가 없습니다.,경고 메시지: 저장된 데이터가 없을 경우
