MissionTextID,MissionNo,Text,Info
MissionTitle,1,Suppress all the noisy prisoners!,오늘의 미션 UI 타이틀 01 | 미션 성공 UI 타이틀 01
MissionInfo,1,"Prisoners are making a racket.<br>If we let them be,<br>they'll start pulling nonsense<br>under the cover of the noise.<br>Suppress all noisy prisoners.",오늘의 미션 상세 내용 01
MissionCondition,1,Suppress 6 noisy prisoners,오늘의 미션 완료 조건 01
MissionProgress,1,Noisy Prisoner,미션 진행도 텍스트 01
MissionFailReason,1,Failed to silence the noisy prisoners,해고 사유 상세 내용 01
MissionTitle,2,Confiscate all weapons<br>hidden in the cells!,오늘의 미션 타이틀 02 | 미션 성공 UI 타이틀 02
MissionInfo,2,Prisoners have hidden weapons in their cells.<br>An accident is bound to happen<br>if these weapons aren't confiscated.<br>Confiscate all hidden weapons.,오늘의 미션 상세 내용 02
MissionCondition,2,Confiscate 7 weapons hidden in cells,오늘의 미션 완료 조건 02
MissionProgress,2,Confiscated<br>Weapons,미션 진행도 텍스트 02
MissionFailReason,2,An accident occurred<br>because you failed to confiscate<br>all the hidden weapons.,해고 사유 상세 내용 02
MissionTitle,3,Suppress all the freaks acting out!,오늘의 미션 타이틀 03 | 미션 성공 UI 타이틀 03
MissionInfo,3,The new arrivals are acting strange.<br>Search every cell<br>and suppress any freaks caught acting out.,오늘의 미션 상세 내용 03
MissionCondition,3,Suppress all 6 prisoners acting out,오늘의 미션 완료 조건 03
MissionProgress,3,Suppressed<br>Prisoners,미션 진행도 텍스트 03
MissionFailReason,3,"You ignored the ones acting out,<br>and now the entire sector has lost it.",해고 사유 상세 내용 03
MissionTitle,4,Find 'Frank'!,오늘의 미션 타이틀 04 | 미션 성공 UI 타이틀 04
MissionInfo,4,"Senior Guard Frank, hasn't returned from patrol<br>Head down to the prison and find him.",오늘의 미션 상세 내용 04
MissionCondition,4,Find Frank and suppress the impostors.,오늘의 미션 완료 조건 04
MissionProgress,4,Suppressed<br>Impostors,미션 진행도 텍스트 04
MissionFailReason,4,Failed to distinguish the real senior guard<br>from the disguised prisoner.,해고 사유 상세 내용 04
MissionTitle,5,Confiscate all contraband!,오늘의 미션 타이틀 05 | 미션 성공 UI 타이틀 05
MissionInfo,5,"Prisoners always find a way to smuggle junk in.<br>We can't stop them, but can't ignore it either.<br>Confiscate all the contraband!",오늘의 미션 상세 내용 05
MissionCondition,5,Confiscate 7 contraband items,오늘의 미션 완료 조건 05
MissionProgress,5,Seized Contraband,미션 진행도 텍스트 05
MissionFailReason,5,"You let contraband circulate,<br>completely disrupting the prison's discipline.",해고 사유 상세 내용 05
MissionTitle,6,Find the firearm smuggler!,오늘의 미션 타이틀 06 | 미션 성공 UI 타이틀 06
MissionInfo,6,"One of the gang members smuggled a gun.<br>Talk to the three suspects,<br>find the one who's lying.<br>And report the culprit to Frank.",오늘의 미션 상세 내용 06
MissionCondition,6,Identify the firearm smuggler<br>and tell Frank who it is.,오늘의 미션 완료 조건 06
MissionProgress,6,Identify Culprit,미션 진행도 텍스트 06
MissionFailReason,6,The number of firearms in the prison increased<br>because you were far off the mark,해고 사유 상세 내용 06
MissionTitle,7,Suppress the planned riot!,오늘의 미션 타이틀 07 | 미션 성공 UI 타이틀 07
MissionInfo,7,A rat brought important intelligence.<br>that the inmates are planning a massive riot.<br>Beat them all into submission<br>before they can start anything,오늘의 미션 상세 내용 07
MissionCondition,7,Suppress all prisoners,오늘의 미션 완료 조건 07
MissionProgress,7,Suppressed<br>Rioters,미션 진행도 텍스트 07
MissionFailReason,7,"You failed to stop the planned riot,<br>throwing the prison into total chaos.",해고 사유 상세 내용 07
