DialogueTextID,Langauage,Mission,TextType,Speaker,Text,Info
DTxt_KR_T_01,KR,Tutorial,Dialogue,Frank,왔나? 네가 오늘부터 구를 신입이군.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_02,KR,Tutorial,Dialogue,Frank,인상은··· 쓸만하군. 하지만 중요한 건 그게 아니야.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_03,KR,Tutorial,Dialogue,Frank,교도관으로 근무할 때 가장 중요한 건 ‘운’이랑 ‘눈치’다.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_04,KR,Tutorial,Dialogue,Frank,"일단, 운이 정말 중요해. 사고가 안 나야 하거든.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_05,KR,Tutorial,Dialogue,Frank,"잘 봐, 여기 화이트보드 보이지? 무사고 며칠 차라고 적혀 있지?",튜토리얼 텍스트 ver.260106
DTxt_KR_T_06,KR,Tutorial,BoardSee,Frank,그래. 0일이다. 어제도 너 같은 애송이가 한 놈 실려 나갔거든.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_07,KR,Tutorial,BoardSee,Frank,이 빌어먹을 7구역은 사건 사고가 끊이지 않아.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_08,KR,Tutorial,BoardSee,Frank,"매일 사고가 터지고, 이틀만 평화로워도 오래 간 거지.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_09,KR,Tutorial,BoardSee,Frank,그래서 우리 목표는 7일이다. 딱 일주일이라고.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_10,KR,Tutorial,BoardSee,Frank,오늘부터 사고 없이 7일을 버티면 넌 정규직이다. 하지만,튜토리얼 텍스트 ver.260106
DTxt_KR_T_11,KR,Tutorial,BoardSee,Frank,단 한 번이라도 사고가 터지면 넌 그날로 짐 싸서 나가는 거야.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_12,KR,Tutorial,BoardSee,Frank,그리고 우리는 다시 0일차부터 시작하는 거고. 내 말 이해했나?,튜토리얼 텍스트 ver.260106
DTxt_KR_T_13,KR,Tutorial,BoardSee,Frank,좋다.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_14,KR,Tutorial,BoardSee,Frank,일단 근무를 위해 필요한 것부터 챙기자고.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_15,KR,Tutorial,BoardSee,Frank,일단 진압 봉을 줘야 하는데··· 캐비닛 앞에 상자가 쌓여 있군.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_16,KR,Tutorial,BoardSee,Frank,"상자 앞에서 E 키를 누르면 상자를 들 수 있고, 다시 E 키를 누르면 내려놓을 수 있다.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_17,KR,Tutorial,BoxOpened,Frank,다른 물건을 들거나 내려놓을 때도 마찬가지로 하면 된다.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_18,KR,Tutorial,BoxOpened,Frank,"자, 상자를 치웠으니 캐비닛을 열고, 그 안에 있는 진압 봉을 챙겨라. 둘 다 E키로 할 수 있다.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_19,KR,Tutorial,BatonEquipped,Frank,교도관이라면 진압 봉은 필수지. 죄수 놈들은 말로 해서는 못 알아듣거든.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_20,KR,Tutorial,BatonEquipped,Frank,"마우스 왼쪽 키를 누르면 공격할 수 있다. 자, 나한테 한 번 휘둘러봐.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_21,KR,Tutorial,NPCHit,Frank,"생각보다는 꽤 잘 치는군. 튼튼한 놈들도 네, 다섯 대면 제압할 수 있겠어.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_22,KR,Tutorial,NPCHit,Frank,그런데 교도소 근무는 몸만 잘 쓰면 된다고 해결되는 게 아니야.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_23,KR,Tutorial,NPCHit,Frank,아까 내가 운이랑 뭐가 중요하다고 했지?,튜토리얼 텍스트 ver.260106
DTxt_KR_T_24,KR,Tutorial,NPCHit,Frank,"그래, 눈치다.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_25,KR,Tutorial,NPCHit,Frank,"자, 성경 책을 하나 줄 테니까 잘 살펴봐",튜토리얼 텍스트 ver.260106
DTxt_KR_T_26,KR,Tutorial,NPCHit,Frank,"마우스 오른쪽 버튼을 이용하면 돌려볼 수 있고, 왼쪽 버튼을 클릭하면 책을 열어볼 수 있다.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_27,KR,Tutorial,BookRead,Frank,송곳이 들어 있지?,튜토리얼 텍스트 ver.260106
DTxt_KR_T_28,KR,Tutorial,BookRead,Frank,이런 식으로 죄수 놈들은 멀쩡한 물건에 위험한 것들을 숨겨 놓는다.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_29,KR,Tutorial,BookRead,Frank,그냥 겉보기에 이상 없다고 괜찮구나- 했다가는 바로 (목 긋는 시늉) 잘리는 거지.,튜토리얼 텍스트 ver.260106
