TutorialTextID,Text,Info
Ttxt_M_01,"Talk to Senior Guard, Frank",튜토리얼 미션 텍스트 01
Ttxt_M_02,Clear the box<br>in front of the cabinet,튜토리얼 미션 텍스트 02
Ttxt_M_03,Open the cabinet.<br>Equip nightstick,튜토리얼 미션 텍스트 03
Ttxt_M_04,Attack Frank,튜토리얼 미션 텍스트 04
Ttxt_M_05,Examine the Bible<br>on the table.,튜토리얼 미션 텍스트 05
Ttxt_M_06,Listen to Frank.,튜토리얼 미션 텍스트 06
Ttxt_G_01,Use [WASD] to move.,가이드 WASD
Ttxt_G_02,Hold [SHIFT] while moving to sprint.,가이드 SHIFT
Ttxt_G_03,Use [CTRL] to crouch or stand up.,가이드 CTRL
Ttxt_G_04,Press [E] to interact with objects.,가이드 E
Ttxt_G_05,Press [ESC] to open the pause menu.,가이드 ESC
Ttxt_G_06,Press [Q] to skip dialogue,가이드 Q
Ttxt_G_07,Move the [Mouse] to look around.,가이드 마우스
Ttxt_G_08,Click and drag [Right-Mouse-Button]<br>to rotate objects while in detail view.,가이드 Right Mouse Btn
Ttxt_G_09,"Click [Left-Mouse-Button]<br>to attack, or examine objects in detail view.",가이드 Left Mouse Btn
