PromptTextID,Text,Info
Ptxt_KR_Object_01,Press [E]<br>to talk to the Senior Guard,선임 교도관 프롬프트 텍스트
Ptxt_KR_Object_02,Press [E]<br>to talk to the Warden,교도소장 프롬프트 텍스트
Ptxt_KR_Object_03,Press [E]<br>to talk to the Prisoner,죄수 프롬프트 텍스트(미션 06)
Ptxt_KR_Object_04,Press [E]<br>to open the prison entrance,교도소 입구 문 프롬프트 텍스트
Ptxt_KR_Object_05,Press [E]<br>to open the cabinet,캐비닛 프롬프트 텍스트
Ptxt_KR_Object_06,Press [E]<br>to close the cabinet,캐비닛 프롬프트 텍스트
Ptxt_KR_Object_07,Press [E]<br>to open the stairwell door,계단 문 프롬프트 텍스트
Ptxt_KR_Object_08,Press [E]<br>to open the cell door,감방 문 프롬프트 텍스트 01
Ptxt_KR_Object_09,Press [E]<br>to close the cell door,감방 문 프롬프트 텍스트 02
Ptxt_KR_Object_10,Press [E]<br>to lift the toilet cover,변기 커버 프롬프트 텍스트
Ptxt_KR_Object_11,Press [E]<br>to peel off the poster,포스터 프롬프트 텍스트
Ptxt_KR_Object_12,Press [E]<br>to inspect the trash can,휴지통 프롬프트 텍스트
Ptxt_KR_Object_13,Press [E]<br>to inspect the toothbrush cup,칫솔 컵 프롬프트 텍스트
Ptxt_KR_Object_14,Press [E]<br>to inspect the Bible,성경 프롬프트 텍스트
Ptxt_KR_Object_15,Press [E]<br>to inspect the dumbbells,덤벨 프롬프트 텍스트
Ptxt_KR_Object_16,Press [E]<br>to inspect the shoes,신발 프롬프트 텍스트
Ptxt_KR_Object_17,Press [E]<br>to inspect the loaf of bread,빵 덩어리 프롬프트 텍스트
Ptxt_KR_Object_18,Press [E]<br>to pick up the pillow,베개 프롬프트 텍스트 01
Ptxt_KR_Object_19,Press [E]<br>to put down the pillow,베개 프롬프트 텍스트 02
Ptxt_KR_Object_20,Press [E]<br>to lift the vent cover,환풍구 커버 프롬프트 텍스트 01
Ptxt_KR_Object_21,Press [E]<br>to put down the vent cover,환풍구 커버 프롬프트 텍스트 02
Ptxt_KR_Object_22,Press [E]<br>to lift the tile,타일 프롬프트 텍스트 01
Ptxt_KR_Object_23,Press [E]<br>to put down the tile,타일 프롬프트 텍스트 02
Ptxt_KR_Object_24,Press [E]<br>to pick up the disc,원판 프롬프트 텍스트 01
Ptxt_KR_Object_25,Press [E]<br>to put down the disc,원판 프롬프트 텍스트 02
Ptxt_KR_Object_26,Press [E]<br>to pick up the flowerpot,화분 프롬프트 텍스트 01
Ptxt_KR_Object_27,Press [E]<br>to put down the flowerpot,화분 프롬프트 텍스트 02
Ptxt_KR_Object_28,Press [E]<br>to pick up the brick,벽돌 프롬프트 텍스트 01
Ptxt_KR_Object_29,Press [E]<br>to put down the brick,벽돌 프롬프트 텍스트 02
Ptxt_KR_Object_30,Press [E]<br>to confiscate the hammer,망치 프롬프트 텍스트
Ptxt_KR_Object_31,Left-click<br>to confiscate the dagger,단검 프롬프트 텍스트
Ptxt_KR_Object_32,Left-click<br>to confiscate the toothbrush,칫솔 프롬프트 텍스트
Ptxt_KR_Object_33,Press [E]<br>to confiscate the alcohol bottle,술병 프롬프트 텍스트
Ptxt_KR_Object_34,Left-click<br>to confiscate the awl,송곳 프롬프트 텍스트
Ptxt_KR_Object_35,Press [E]<br>to confiscate the lighter,라이터 프롬프트 텍스트
Ptxt_KR_Object_36,Left-click<br>to confiscate the knuckles,너클 프롬프트 텍스트
Ptxt_KR_Object_37,Press [E]<br>to confiscate the adult magazine,성인 잡지 프롬프트 텍스트
Ptxt_KR_Object_38,Press [E]<br>to confiscate the playing cards,트럼프 카드 프롬프트 텍스트
Ptxt_KR_Object_39,Left-click<br>to confiscate the spoon-shiv,숟가락 칼 프롬프트 텍스트
Ptxt_KR_Object_40,Press [E]<br>to confiscate the cigarette pack,담배갑 프롬프트 텍스트
Ptxt_KR_Object_41,Left-click<br>to confiscate the knife,나이프 프롬프트 텍스트
Ptxt_KR_Object_42,Press [E]<br>to confiscate the stack of cash,지폐 뭉치 프롬프트 텍스트
Ptxt_KR_Object_43,Press [E]<br>to confiscate the guard uniform,간수복 프롬프트 텍스트
Ptxt_KR_Object_44,Press [E]<br>to talk to Mimi,미미 프롬프트 텍스트
Ptxt_KR_Object_45,Press [E]<br>to pick up the soap,비누 프롬프트 텍스트
Ptxt_KR_Object_46,Press [E]<br>to confiscate the smartphone,스마트폰 프롬프트 텍스트
Ptxt_KR_Object_47,Press [E]<br>to pick up the box,박스 프롬프트 텍스트 01
Ptxt_KR_Object_48,Press [E]<br>to put down the box,박스 프롬프트 텍스트 02
Ptxt_KR_Object_49,Press [E]<br>to take the nightstick,진압봉 프롬프트 텍스트
