TutorialTextID,Text,Info
Ttxt_M_01,화이트보드 앞의 선임 교도관에게 말 걸기,튜토리얼 미션 텍스트 01
Ttxt_M_02,캐비닛 앞의 박스 치우기,튜토리얼 미션 텍스트 02
Ttxt_M_03,캐비닛을 열고 진압 봉 챙기기,튜토리얼 미션 텍스트 03
Ttxt_M_04,Frank에게 진압 봉을 휘둘러보기,튜토리얼 미션 텍스트 04
Ttxt_M_05,테이블 위의 성경 책 확인하기,튜토리얼 미션 텍스트 05
Ttxt_M_06,Frank의 설명 마저 듣기,튜토리얼 미션 텍스트 06
Ttxt_G_01,[WASD] 키로 이동할 수 있습니다.,가이드 WASD
Ttxt_G_02,[SHIFT] 키를 누르며 이동하면 달릴 수 있습니다.,가이드 SHIFT
Ttxt_G_03,[CTRL] 키를 누르면 앉거나 설 수 있습니다.,가이드 CTRL
Ttxt_G_04,[E] 키를 눌러 다양한 오브젝트와 상호작용할 수 있습니다.,가이드 E
Ttxt_G_05,[ESC] 키로 일시정지 창을 열 수 있습니다.,가이드 ESC
Ttxt_G_06,[Q] 키로 대화를 스킵할 수 있습니다.,가이드 Q
Ttxt_G_07,마우스를 움직여 플레이어 시선을 조작할 수 있습니다.,가이드 마우스
Ttxt_G_08,오른쪽 마우스 클릭 및 드래그로 오브젝트를 회전시킬 수 있습니다.,가이드 Right Mouse Btn
Ttxt_G_09,"왼쪽 마우스 클릭으로 공격을 할 수 있으며, 상세보기에서 사물을 확인할 수 있습니다.",가이드 Left Mouse Btn
